fecha_scrape,fuente,fecha_publicacion,empresa,titulo_puesto,categoria,encaja_perfil,ubicacion,modalidad,salario_min,salario_max,experiencia_requerida,stack_tecnologico,nivel_ingles,url_oferta
2026-06-26,Tecnoempleo,17/06/2026,GMV,Ingeniero/a Junior de Integración HW/SW,WEB,Si,Madrid,hibrido,,,2 años,"C, C++, Git",Medio/B2,https://www.tecnoempleo.com/ingeniero-junior-integracion-hw-sw-gmv/c-git/rf-b9611d4b424573ceb145
2026-06-26,Tecnoempleo,17/06/2026,Page Personnel,Ingeniero/a de procesos junior,WEB,Quizas,Valencia,,,,Sin experiencia,ingenieria,Medio/B2,https://www.tecnoempleo.com/ingeniero-procesos-junior-page-personnel/ingenieria/rf-4ae814cdd257b3fdd24f
2026-06-26,Tecnoempleo,16/06/2026,Baoss,PMO Junior - Gestión de Proyectos IT,WEB,Quizas,Madrid,,,,2 años,"PMO, Scrum, Kanban",Medio/B2,https://www.tecnoempleo.com/pmo-junior-gestion-proyectos-it-baoss/scrum-kanban/rf-16ce196a1258a3a22245
2026-06-26,Tecnoempleo,15/06/2026,Page Personnel,Ingeniero/a Junior Proyectos Industriales,WEB,Quizas,Sevilla,,,,2 años,industrial,Alto/C1,https://www.tecnoempleo.com/ingeniero-junior-proyectos-industriales-page-perso/industrial/rf-72d41d14227773880149
2026-06-26,Tecnoempleo,15/06/2026,Michael Page,Técnico/a junior o semitécnico mecánico,WEB,Quizas,Huesca,,,,,"AutoCAD, SolidWorks, Tekla",Medio/B2,https://www.tecnoempleo.com/tecnico-junior-o-semitecnico-mecanico-michael-page/autocad-solidworks/rf-0d6915f7b2658300d54e
2026-06-26,Tecnoempleo,12/06/2026,Page Personnel,Técnico/a Mecatrónico/a Junior,WEB,Quizas,Barcelona,,,,,"Mecatrónica, Electrónica",Medio/B2,https://www.tecnoempleo.com/tecnico-mecatronico-junior-page-personnel/mecatronica-electronica/rf-820d141b52f35388e945
2026-06-26,Tecnoempleo,12/06/2026,EY,Junior IT Support - Help Desk,WEB,Quizas,Madrid,hibrido,,,2 años,"soporte, microinformática",Medio/B2,https://www.tecnoempleo.com/junior-it-support-help-desk-ey/soporte-microinformatica/rf-a33411d8421d73607f4a
2026-06-26,Tecnoempleo,09/06/2026,Baoss,Analista Junior - Seguridad Proyectos IT,WEB,Quizas,Madrid,,,,2 años,"analisis funcional, ciberseguridad",Medio/B2,https://www.tecnoempleo.com/analista-junior-seguridad-proyectos-it-baoss/analisis-funcional-cibersegur/rf-ae6813c95255c3a73b4d
2026-06-26,Tecnoempleo,29/05/2026,Grupo Digital,Tecnico/a Junior Soporte OBS,WEB,Si,Barcelona,hibrido,,,,"soporte, ITSM",Medio/B2,https://www.tecnoempleo.com/tecnico-junior-soporte-obs-grupo-digital/itsm/rf-8ca0101422b743f0a941
2026-06-26,Tecnoempleo,22/05/2026,PANEL Sistemas Informáticos,Ingeniero/a Junior Telecomunicaciones IMS/VoLTE,WEB,Quizas,100% remoto,remoto,,,,"IMS, VoLTE, VoIP",Medio/B2,https://www.tecnoempleo.com/ingeniero-junior-telecomunicaciones-ims-volte-pane/voip-sip/rf-166b1b38a22c23e89d46
2026-06-26,Tecnoempleo,11/05/2026,EY,IT Risk Junior,WEB,Quizas,Madrid,hibrido,,,,ciberseguridad,Medio/B2,https://www.tecnoempleo.com/it-risk-junior-ey/ciberseguridad/rf-b1d4116002e223021443
2026-06-26,Tecnoempleo,08/05/2026,Atos,Consultor/a Junior de Ciberseguridad ENS,WEB,Quizas,Madrid,hibrido,,,2 años,"Ciberseguridad, ENS",Medio/B2,https://www.tecnoempleo.com/consultor-junior-ciberseguridad-ens-atos/ciberseguridad/rf-18d11894e25193539b47
2026-06-26,Tecnoempleo,01/05/2026,Page Personnel,Satellite Operations Engineer Junior,WEB,Quizas,Barcelona,,30000.0,39000.0,2 años,satellite,Medio/B2,https://www.tecnoempleo.com/satellite-operations-engineer-junior-page-personne/satellite/rf-1e83109df2fb53bdac41
2026-06-26,Tecnoempleo,01/05/2026,EISI Soft,Consultor/a Implantador/a Junior EISI HOTEL,WEB,Quizas,Madrid,,,,,software,Medio/B2,https://www.tecnoempleo.com/consultor-implantador-junior-eisi-hotel-eisi-soft/software/rf-5ef410f892a9537fb044
2026-06-26,Tecnoempleo,17/04/2026,Julius Baer,ServiceNow Junior Developer,WEB,Quizas,Madrid,,,,,"ServiceNow, ITSM",Alto/C1,https://www.tecnoempleo.com/servicenow-junior-developer-julius-baer/itsm/rf-f94f15820244e39c5a44
2026-06-26,Tecnoempleo,01/04/2026,Deloitte,Consultor/a Junior IT - Septiembre,WEB,Si,Zaragoza,,,,Sin experiencia,"Dynamics 365, Business Central, Power BI",Medio/B2,https://www.tecnoempleo.com/consultor-junior-it-septiembre-deloitte/dynamics-365-business-central/rf-b8771e9dd2e7037bf546
2026-06-26,Tecnoempleo,31/03/2026,Julius Baer,Junior SAP BW/4HANA Consultant,WEB,Quizas,Madrid,,,,2 años,"sap, hana",Medio/B2,https://www.tecnoempleo.com/junior-sap-bw-4hana-consultant-julius-baer/sap/rf-055616598278e3b5234c
2026-06-26,Tecnoempleo,27/03/2026,Santander,iOS Junior Developer,WEB,Quizas,Madrid,,,,,"Swift, iOS",Medio/B2,https://www.tecnoempleo.com/ios-junior-developer-santander/swift/rf-70d918e89229938fa24f
2026-06-26,Tecnoempleo,06/03/2026,Sopra Steria,Programador/a Junior con Francés,WEB,Si,Barcelona,,,,,"Java, .NET",Medio/B2,https://www.tecnoempleo.com/programador-junior-con-frances-sopra-steria/java-net/rf-8ea81355528843e06048
