fecha_scrape,fuente,fecha_publicacion,empresa,titulo_puesto,categoria,encaja_perfil,ubicacion,modalidad,salario_min,salario_max,experiencia_requerida,stack_tecnologico,nivel_ingles,url_oferta
2026-06-26,Tecnoempleo,15/06/2026,Airbus,INTERNSHIP Machine Learning for Stress Analyses,IA,Si,Madrid,,,,Sin experiencia,Python,Medio/B2,https://www.tecnoempleo.com/internship-machine-learning-for-stress-analyses-ai/python-machine-learning/rf-529f1268721633b8be42
2026-06-26,Tecnoempleo,28/04/2026,Accenture,Data & AI Strategy Data Science Analyst,IA,Quizas,Madrid,,,,,"Python, SQL",Medio/B2,https://www.tecnoempleo.com/data-ai-strategy-data-science-analyst-accenture/python-machine-learning/rf-f9ce101652ca23074647
2026-06-26,Tecnoempleo,26/06/2026,Amazon,Software Dev Engineer Machine Learning,IA,Quizas,Madrid,,,,,"Python, Java, C++",Medio/B2,https://www.tecnoempleo.com/software-dev-engineer-machine-learning-amazon/python-java/rf-11ea12b902cd63d45746
2026-06-26,Tecnoempleo,23/06/2026,Ebury,Data Scientist,IA,Quizas,Madrid,hibrido,,,2 años,"Python, SQL, Google Cloud Platform",Medio/B2,https://www.tecnoempleo.com/data-scientist-ebury/python-sql/rf-e9bc17ffc24133a1064b
2026-06-26,Tecnoempleo,05/06/2026,Page Personnel,Data Scientist sector financiero,IA,Quizas,Madrid,hibrido,36000.0,45000.0,,"Python, R",Medio/B2,https://www.tecnoempleo.com/data-scientist-sector-financiero-page-personnel/python/rf-999013cf122c03523444
2026-06-26,Tecnoempleo,29/05/2026,Airbus,2026-2027 INTERNSHIP Artificial Inteligence,IA,Si,Madrid,,,,Sin experiencia,"C++, Fortran, Python",Medio/B2,https://www.tecnoempleo.com/2026-2027-internship-artificial-inteligence-airbus/c-fortran/rf-3dc71806e2ddf332e141
2026-06-26,Tecnoempleo,06/04/2026,Accenture,Data Scientist Analyst for Supply Chain,IA,Quizas,Barcelona,,,,,"Python, R, SQL",Medio/B2,https://www.tecnoempleo.com/data-scientist-analyst-for-supply-chain-accenture/python-sql/rf-9e391173a29f739fc94e
2026-06-26,Tecnoempleo,30/01/2026,EY,Data Engineer,IA,Quizas,Málaga,hibrido,,,2 años,"Python, SQL, Azure",Medio/B2,https://www.tecnoempleo.com/data-engineer-ey/python-sql/rf-3fcd13e3521803bb8445
2026-06-26,Tecnoempleo,25/06/2026,CMV Consultores,Data Engineer (AI & Data),IA,Quizas,100% remoto,remoto,36000.0,45000.0,2 años,"SQL, ETL, BigQuery",Medio/B2,https://www.tecnoempleo.com/data-engineer-ai-data-cmv-consultores/sql-etl/rf-65cf1509329ab31bba45
2026-06-26,Tecnoempleo,01/05/2026,Menhir AI,Junior AI Engineer,IA,Si,Madrid,,,,,"Python, LangChain, LangGraph",Medio/B2,https://www.tecnoempleo.com/junior-ai-engineer-menhir-ai/python-langchain/rf-a02b1ff582dab3109346
2026-06-26,Tecnoempleo,18/06/2026,Karhuno AI,Full-Stack Developer / Growth Engineer,IA,Quizas,Madrid,,1800.0,2700.0,,"JavaScript, TypeScript, React",Medio/B2,https://www.tecnoempleo.com/full-stack-developer-growth-engineer-karhuno-ai/javascript-typescript/rf-4aa01a7c62bf9381a747
2026-06-26,Tecnoempleo,25/06/2026,EY,Software Engineer (Python / Angular),IA,Quizas,Málaga,,,,2 años,"Python, Node.js, Angular",Medio/B2,https://www.tecnoempleo.com/software-engineer-python-angular-ey/nodejs-kubernetes/rf-b29d14692249e3f2db46
2026-06-26,Tecnoempleo,12/05/2026,Amazon,Software Development Engineer (Java&AWS),IA,Quizas,Madrid,,,,2 años,"java, AWS, C++",Medio/B2,https://www.tecnoempleo.com/software-development-engineer-java-aws-amazon/c/rf-b2a21fc612d27396bc46
2026-06-26,Tecnoempleo,08/05/2026,Amazon,Software Development Engineer - 2026,IA,Si,Madrid,,,,Sin experiencia,"Java, Python, C++",Medio/B2,https://www.tecnoempleo.com/software-development-engineer-2026-amazon/java-python/rf-2356148252d813ae754b
2026-06-26,Tecnoempleo,08/05/2026,Plexus,Develop Java-Generative AI,IA,Quizas,Madrid,,,,2 años,"Java, Spring, openAPI",Medio/B2,https://www.tecnoempleo.com/develop-java-generative-ai-plexus/spring-openapi/rf-ec8a194f32818365d54f
2026-06-26,Tecnoempleo,25/06/2026,Deloitte,Desarrollador Front de Canales digitales,WEB,Quizas,Madrid,hibrido,,,,"HTML, JavaScript, CSS",Medio/B2,https://www.tecnoempleo.com/desarrollador-front-canales-digitales-deloitte/html-javascript/rf-455c13b282c4738b3240
2026-06-26,Tecnoempleo,15/06/2026,Baoss,Desarrollador/a Front-End (React / Next.js),WEB,Quizas,Madrid,hibrido,30000.0,30000.0,,"JavaScript, ES6, React",Medio/B2,https://www.tecnoempleo.com/desarrollador-front-end-react-nextjs-baoss/javascript-es6/rf-4b781ba1d2264310314e
2026-06-26,Tecnoempleo,04/06/2026,INMOFINAN,Desarrollador Web WordPress con conocimientos SEO,WEB,Quizas,Madrid,,,,2 años,"Wordpress, HTML, CSS",Medio/B2,https://www.tecnoempleo.com/desarrollador-web-wordpress-con-conocimientos-seo-/html-css/rf-b8c819b342378350a64e
2026-06-26,Tecnoempleo,01/01/2024,Indra Sistemas,Desarrollador Front End,WEB,Quizas,Madrid,,,,2 años,"javascript, angular, vue",Medio/B2,https://www.tecnoempleo.com/desarrollador-front-end-madrid/javascript-angular-vue-bootstrap-react/rf-440b1e94d255b36c6c4f
2026-06-26,Tecnoempleo,01/01/2024,Indra Sistemas,Desarrollador Java,WEB,Si,Madrid,,,,Sin experiencia,"java, xml, voip",Medio/B2,https://www.tecnoempleo.com/desarrollador-java-madrid/java-xml-voip-linux-avaya/rf-a4fb1cf4b21fc32a4e48
2026-06-26,Tecnoempleo,22/09/2023,Talent Search People,Desarrollador Java,WEB,Si,100% remoto,remoto,,,Sin experiencia,"java, springboot",Medio/B2,https://www.tecnoempleo.com/desarrollador-java-remoto/java-springboot/rf-73f5147e925063b8e645
2026-06-26,Tecnoempleo,26/07/2022,Apolo IT Group,Desarrollador Java,WEB,Quizas,Asturias,,,,,"java, HTML, HTML5",Medio/B2,https://www.tecnoempleo.com/desarrollador-java-asturias/java-html-html5-xls-xml/rf-fa4azd1aeb36di0c7a73
2026-06-26,Tecnoempleo,26/06/2026,Arelance,Java Developer (Arquitectura LRBA),WEB,Quizas,Madrid,hibrido,30000.0,30000.0,2 años,"java, apx",Medio/B2,https://www.tecnoempleo.com/java-developer-arquitectura-lrba-arelance/apx/rf-0ebd109bf2e213011e48
2026-06-26,Tecnoempleo,25/06/2026,knowmad mood,Frontend React - TV,WEB,Quizas,100% remoto,remoto,,,2 años,"React, React Native, JavaScript",Alto/C1,https://www.tecnoempleo.com/frontend-react-tv-knowmad-mood/react-native-javascript/rf-a18e184f3289b37f8b4f
2026-06-26,Tecnoempleo,25/06/2026,Airbus,BECA AHE - Web developer,WEB,Quizas,Albacete,,,,Sin experiencia,UX/UI,Medio/B2,https://www.tecnoempleo.com/beca-ahe-web-developer-airbus/ux-ui/rf-ba6e17a782adb378e34f
2026-06-26,Tecnoempleo,25/06/2026,Everlasting Art,Desarollador full-stack (prácticas),WEB,Si,Sevilla,,,,Sin experiencia,"PHP, LARAVEL, REACT",Medio/B2,https://www.tecnoempleo.com/desarollador-full-stack-practicas-everlasting-art/php-laravel/rf-42121e783222c3e9d34b
2026-06-26,Tecnoempleo,22/06/2026,GMV,Ingeniero/a de Software Frontend (Junior),WEB,Si,Madrid,hibrido,,,Sin experiencia,"HTML5, CSS3, JavaScript",Medio/B2,https://www.tecnoempleo.com/ingeniero-software-frontend-junior-gmv/html5-css3/rf-b8511f240281f3fda64d
2026-06-26,Tecnoempleo,19/06/2026,Airbus,BECA AHE - Web & Mobile Engineering,WEB,Si,Albacete,,,,Sin experiencia,"React, Angular, NestJS",Medio/B2,https://www.tecnoempleo.com/beca-ahe-web-mobile-engineering-airbus/react-angular/rf-ac7b10862206e38db545
2026-06-26,Tecnoempleo,08/06/2026,knowmad mood,Frontend Developer - LitElements - Web components,WEB,Quizas,100% remoto,remoto,,,2 años,"LitElements, HTML, CSS",Medio/B2,https://www.tecnoempleo.com/frontend-developer-litelements-web-components-know/html-css/rf-5231169af28283778b4c
2026-06-26,Tecnoempleo,01/01/2024,Indra Sistemas,Programador .Net,WEB,Quizas,Madrid,,,,Sin experiencia,".Net, SQL, Microsoft Dynamics",Medio/B2,https://www.tecnoempleo.com/programador-net-madrid/net-sql-microsoft-dynamics-crm-oracle-sharepoint-c/rf-c08a117ef22f1369704c
2026-06-26,Tecnoempleo,30/10/2023,The Adecco Group,Programador/a PHP (Laravel / Symfony),WEB,Quizas,100% remoto,remoto,21000.0,33000.0,2 años,"PHP, Laravel, Symfony",Medio/B2,https://www.tecnoempleo.com/programador-php-laravel-symfony-remoto/php-laravel-symfony-javascript-html/rf-f095e837el53cs7c6ega
2026-06-26,Tecnoempleo,23/06/2023,The Adecco Group,Ingeniero/a pruebas automatizadas,WEB,Quizas,Madrid,,30000.0,39000.0,2 años,"Python, Linux",Alto/C1,https://www.tecnoempleo.com/ingeniero-pruebas-automatizadas-madrid/python-linux/rf-7df11452a29e036fd94e
2026-06-26,Tecnoempleo,26/07/2022,Apolo IT Group,Big Data Developer,WEB,Quizas,Madrid,,,,,"java, unix, oracle",Medio/B2,https://www.tecnoempleo.com/big-data-developer-madrid/java-unix-oracle/rf-6c7c39021p0d0k1045o5
2026-06-26,Tecnoempleo,26/06/2026,ALENTA EQUIPO,Full Stack Developer,WEB,Quizas,Castellón,,,,,"AWS, Node, Typescript",Medio/B2,https://www.tecnoempleo.com/full-stack-developer-alenta-equipo/aws-node/rf-3fab1b3352e1433d4443
2026-06-26,Tecnoempleo,26/06/2026,EY,Full Stack Developer NodeJs / Angular,WEB,Quizas,Málaga,hibrido,,,2 años,"node, angular, TypeScript",Medio/B2,https://www.tecnoempleo.com/full-stack-developer-nodejs-angular-ey/typescript/rf-61ad11194267b3365d4c
2026-06-26,Tecnoempleo,30/04/2026,BASF,Full Stack Developer STIBO Step (m/f/d),WEB,Quizas,Madrid,,,,2 años,"Stibo STEP, JavaScript, Azure DevOps",Medio/B2,https://www.tecnoempleo.com/full-stack-developer-stibo-step-m-f-d-basf/stibo-step-javascript/rf-a5311e4dc2a4c3bb8845
2026-06-26,Tecnoempleo,12/06/2026,HAYS,Frontend Developer React,WEB,Quizas,Barcelona,hibrido,,,2 años,"React, JavaScript, TypeScript",Medio/B2,https://www.tecnoempleo.com/frontend-developer-react-hays/javascript-typescript/rf-cd2015a5327f23fe4d47
2026-06-26,Tecnoempleo,25/06/2026,Digital Talent Agency,Desarrollador/a .NET con Ingles en Remoto,WEB,Quizas,Madrid,remoto,,,2 años,".net, C#",Medio/B2,https://www.tecnoempleo.com/desarrollador-net-con-ingles-en-remoto-digital-tal/net-c/rf-51a41326f2fe037f4c4d
2026-06-26,Tecnoempleo,05/06/2026,HAYS,PHP Backend Developer,WEB,Quizas,Girona,hibrido,,,2-3 años,"PHP, API, Vue",Medio/B2,https://www.tecnoempleo.com/php-backend-developer-hays/api-vue/rf-3c8b1d50826ee3d0f848
2026-06-26,Tecnoempleo,23/04/2026,WayOps,Application Developer,WEB,Si,Madrid,,,,1-3 años,"Python, FastAPI, React",Medio/B2,https://www.tecnoempleo.com/application-developer-wayops/python-fastapi/rf-3ca2170582d7b3ecb747
2026-06-26,Tecnoempleo,22/06/2026,Grupo Digital,Full Stack Java/React/Angular (Ingles alto),WEB,Quizas,Madrid,hibrido,26000.0,42000.0,,"java, spring boot",Alto/C1,https://www.tecnoempleo.com/full-stack-java-react-angular-ingles-alto-grupo-di/spring-boot-node/rf-44f417cf3234f3c12c47
2026-06-26,Tecnoempleo,19/06/2026,Second Window,Desarrollador Ruby on Rails / React,WEB,Quizas,Madrid,hibrido,,,2-3 años,RUBY ON RAILS,Medio/B2,https://www.tecnoempleo.com/desarrollador-ruby-on-rails-react-second-window/ruby-on-rails/rf-8e041bc9f2b703c6fd48
2026-06-26,Tecnoempleo,18/06/2026,GMV,"Junior Developer (.NET, Angular/React)",WEB,Si,Madrid,hibrido,,,,"C#, .NET, Angular",Medio/B2,https://www.tecnoempleo.com/junior-developer-net-angular-react-gmv/c-net/rf-b8c31f8df28b53e4f94c
2026-06-26,Tecnoempleo,26/06/2026,Serem,Desarrollador Java,WEB,Quizas,Sevilla,,,,2 años,"java, sql, javascript",Medio/B2,https://www.tecnoempleo.com/desarrollador-java-serem/sql-javascript/rf-8e221aa012ff93e20942
2026-06-26,Tecnoempleo,23/06/2026,Gisgal,Ingeniero de software,WEB,Si,A Coruña,hibrido,30000.0,36000.0,Sin experiencia,"JavaScript, Node.js",Medio/B2,https://www.tecnoempleo.com/ingeniero-software-gisgal/javascript-nodejs/rf-b0d717aa328ca3a24844
2026-06-26,Tecnoempleo,22/06/2026,Grupo Digital,Full Stack Software Engineer (Ingles alto),WEB,Quizas,100% remoto,remoto,26000.0,42000.0,,"java, spring boot",Alto/C1,https://www.tecnoempleo.com/full-stack-software-engineer-ingles-alto-grupo-dig/java-spring-boot/rf-e8bf1a5d525053a10c43
2026-06-26,Tecnoempleo,19/06/2026,Invoin,Analista Programador/Data Scientist/BI,WEB,Quizas,Madrid,hibrido,,,2 años,"NodeJS, JavaScript",Alto/C1,https://www.tecnoempleo.com/analista-programador-data-scientist-bi-hibrido/nodejs-javascript-react-htm/rf-67431d3912e3b39a5c40
2026-06-26,Tecnoempleo,15/06/2026,ZYLK,Java Opensource Developer (remoto o presencial),WEB,Quizas,100% remoto,remoto,21000.0,36000.0,2 años,"liferay, java, html",Medio/B2,https://www.tecnoempleo.com/java-opensource-developer-remoto-o-presencial-zylk/liferay-html/rf-13f211a432881301bd40
2026-06-26,Tecnoempleo,11/06/2026,Sopra Steria,Desarrollador/a Java con Francés,WEB,Quizas,Sevilla,,,,2 años,"Java, Spring",Medio/B2,https://www.tecnoempleo.com/desarrollador-java-con-frances-sopra-steria/spring/rf-a8ba1d78c219239c594b
2026-06-26,Tecnoempleo,11/06/2026,Sopra Steria,Desarrollador/a Java con Francés,WEB,Quizas,Madrid,,,,2 años,java,Medio/B2,https://www.tecnoempleo.com/desarrollador-java-con-frances-sopra-steria/java/rf-5ec01fa58210a343b642
2026-06-26,Tecnoempleo,10/06/2026,knowmad mood,Backend NodeJS / NestJS Developer,WEB,Quizas,100% remoto,remoto,,,más de 2 años,"node, NestJS, TypeScript",Medio/B2,https://www.tecnoempleo.com/backend-nodejs-nestjs-developer-knowmad-mood/typescript/rf-7d6c16306232a33c0c46
2026-06-26,Tecnoempleo,05/06/2026,GMV,Desarrollador/a backend,WEB,Quizas,Madrid,hibrido,,,2 años,"Java, Python, C++",Alto/C1,https://www.tecnoempleo.com/desarrollador-backend-gmv/java-python/rf-67591579a2cd83182e4e
2026-06-26,Tecnoempleo,26/06/2026,HAYS,Ingeniero/a de Software,WEB,Quizas,Nueva,,,,,"Java, Python, .NET",Medio/B2,https://www.tecnoempleo.com/ingeniero-software-hays/java-python/rf-894b1cff9281d342304d
2026-06-26,Tecnoempleo,26/06/2026,Deister Consulting,Programadores/as y Consultores/as,WEB,Si,Madrid,,,,Sin experiencia,"java, sql",Medio/B2,https://www.tecnoempleo.com/programadores-consultores-as-deister-consulting/java-sql/rf-2604103a328593b0d347
2026-06-26,Tecnoempleo,25/06/2026,Baoss,Analista Programador/a Java,WEB,Quizas,Madrid,,,,2 años,"Java, Spring, Oracle",Medio/B2,https://www.tecnoempleo.com/analista-programador-java-baoss/spring-oracle/rf-3caf1cf5d25f239e1348
2026-06-26,Tecnoempleo,24/06/2026,PSS,Desarrollador/a Frontend Angular,WEB,Quizas,100% remoto,remoto,21000.0,24000.0,2 años,"angular, html5",Medio/B2,https://www.tecnoempleo.com/desarrollador-frontend-angular-pss/javascript-html5/rf-14e91b21324f33db474e
2026-06-26,Tecnoempleo,08/06/2026,HAYS,Técnico/a de Soporte de Aplicaciones,WEB,Quizas,Gipuzkoa,hibrido,,,2 años,"PHP, SQL",Medio/B2,https://www.tecnoempleo.com/tecnico-soporte-aplicaciones-hays/javascript-php/rf-5faa1ea302a6132bb340
2026-06-26,Tecnoempleo,29/05/2026,Nestle,DevOps and QA Automation Engineer,WEB,Quizas,Madrid,,,,,"Git, GitHub, Playwright",Medio/B2,https://www.tecnoempleo.com/devops-and-qa-automation-engineer-nestle/git-github/rf-5c591a781250e32ca942
2026-06-26,Tecnoempleo,24/05/2024,Apolo IT Group,Analistas Programadores Java,WEB,Quizas,Madrid,,,,2 años,"java, j2ee",Medio/B2,https://www.tecnoempleo.com/analistas-programadores-java-madrid/java-j2ee-javascript-jquery-oracle-pl-/rf-94ddib450g32d70833yf
2026-06-26,Tecnoempleo,23/02/2024,Apolo IT Group,Analista Programador Java,WEB,Quizas,Madrid,,,,,"java, j2ee",Medio/B2,https://www.tecnoempleo.com/analista-programador-java-madrid/java-javascript-j2ee-json-xml-html-pl-sql/rf-2ee8y6269nb5823e051f
2026-06-26,Tecnoempleo,03/03/2023,Sopra Steria,Programadores Java/J2EE Junior Frances,WEB,Si,Valencia,,,,,"java, J2EE",Medio/B2,https://www.tecnoempleo.com/programadores-java-j2ee-junior-frances-valencia/java-j2ee-javascript-pl-sq/rf-0b8fdb6f7v510843f832
2026-06-26,Tecnoempleo,25/06/2026,GMV,Ingeniero/a de software embebido,WEB,Quizas,Madrid,hibrido,,,2 años,"C, C++, Python",Medio/B2,https://www.tecnoempleo.com/ingeniero-software-embebido-gmv/c-c/rf-fc5c1e9b32f2e38fc04e
2026-06-26,Tecnoempleo,15/05/2026,EY,Power Platform Developer,WEB,Quizas,Málaga,,,,,"Dynamics 365, Power Platform, Power Apps",Medio/B2,https://www.tecnoempleo.com/power-platform-developer-ey/dynamics-365-power-platform/rf-6f5d185122bdd327044b
2026-06-26,Tecnoempleo,08/05/2026,Plexus,"PHP, Angular Web Analyst",WEB,Quizas,Madrid,,,,2 años,Angular,Medio/B2,https://www.tecnoempleo.com/php-angular-web-analyst-plexus/php/rf-e9a61db282e593bbac43
2026-06-26,Tecnoempleo,26/06/2026,HAYS,Tecnico sistemas junior,WEB,Quizas,Nueva,,21000.0,21000.0,1-2 años,"Windows, Linux, TCP/IP",Medio/B2,https://www.tecnoempleo.com/tecnico-sistemas-junior-hays/windows-linux/rf-05e8165482d49324344c
2026-06-26,Tecnoempleo,26/06/2026,Randstad ES,Programador Junior Java,WEB,Si,Nueva,,,,,"java, spring",Medio/B2,https://www.tecnoempleo.com/programador-junior-java-randstad-es/spring/rf-886418fa62dd3347f14b
2026-06-26,Tecnoempleo,26/06/2026,Second Window,Junior Data Analyst. Inglés C1,WEB,Quizas,Madrid,,227500.0,227500.0,2 años,"Power Automate, Power BI, SQL",Alto/C1,https://www.tecnoempleo.com/junior-data-analyst-ingles-c1-second-window/power-automate-power-bi/rf-918f17ca3255c31e8945
2026-06-26,Tecnoempleo,26/06/2026,Deloitte,Consultor/a Junior IT - Septiembre - Pamplona,WEB,Si,Navarra,,,,Sin experiencia,"Dynamics 365, Business Central, Python",Medio/B2,https://www.tecnoempleo.com/consultor-junior-it-septiembre-pamplona-deloitte/dynamics-365-business-cen/rf-681c1eeab213731a8144
