fecha_scrape,fecha_publicacion,empresa,titulo_puesto,categoria,ubicacion,modalidad,salario_min,salario_max,experiencia_requerida,stack_tecnologico,nivel_ingles,url_oferta
2026-09-02,2026-07-21,PricewaterhouseCoopers,Conusltoría | Senior Associate - IA & Analytics Barcelona,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5808573230?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-30,EBIS Business Techschool,Sales Representative (Education),IA,España,no especificado,,,,no especificado,requerido,https://www.adzuna.es/land/ad/5861759714?se=cvJmWKam8RGiHujJjqzZMA&utm_medium=api&utm_source=4332c1fe&v=0C217158AEB74E1DB5149B13B9102910E429F0D6
2026-09-02,2025-03-21,Cognizant,Quality Tester Italian native speaker,IA,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5105201328?utm_medium=api&utm_source=4332c1fe
2026-09-02,2025-03-21,Cognizant,Quality Tester German Native speaker,IA,España,no especificado,,,,no especificado,nativo,https://www.adzuna.es/details/5105201290?utm_medium=api&utm_source=4332c1fe
2026-09-02,2025-03-21,Cognizant,Quality tester french speaker,IA,España,no especificado,,,,no especificado,nativo,https://www.adzuna.es/details/5105201273?utm_medium=api&utm_source=4332c1fe
2026-09-02,2025-03-21,Cognizant,Quality Tester english from Ireland speaker,IA,España,no especificado,,,,no especificado,requerido,https://www.adzuna.es/details/5105201282?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-21,Novartis,Senior Expert Data Science,IA,España,hibrido,42600.0,79200.0,,no especificado,no especificado,https://www.adzuna.es/details/5850727609?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-22,Novartis,Senior Expert Data Science,IA,España,hibrido,42600.0,79200.0,,no especificado,no especificado,https://www.adzuna.es/details/5852211245?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-09-01,Airbus,BECA AHE - Web developer,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/land/ad/5864619345?se=mBKxWaam8RGWysaNsaW8vw&utm_medium=api&utm_source=4332c1fe&v=195FED339F42F1FE007BAC9A52E6C753C6DD88FE
2026-09-02,2026-07-18,INSTAFLOW,Web Developer,WEB,"Palma de Mallorca, Islas Baleares",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5805885159?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-07-25,Enerpac Tool Group Corporation,Web Developer,WEB,"Alcobendas, Madrid",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5815044813?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-09-01,Airbus,Airbus - BECA AHE - Web developer,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/land/ad/5864619293?se=mBKxWaam8RGWysaNsaW8vw&utm_medium=api&utm_source=4332c1fe&v=78E6A2F707D038DDD450673D2F69F0305792F7E6
2026-09-02,2026-07-18,Technica Electronics,Fullstack Web Developer,WEB,"Rubí, Barcelona",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5805885216?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-08,Barcelona Supercomputing Center ,Web developer (RE2),WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5833144242?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-17,"Trigyn Technologies, Inc",Drupal Web Developer,WEB,España,remoto,,,,no especificado,no especificado,https://www.adzuna.es/details/5845406015?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-04-09,Quoviz Consulting,Full Stack Web Developer,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5693820591?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-07-11,LocalStack,Web Developer (6m contract),WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5796628656?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-30,Persei vivarium,Web developer / SCRUM Master,WEB,Madrid,no especificado,,,,javascript,no especificado,https://www.adzuna.es/details/5862405472?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-15,Kinda es,Web Developer & Digital Content Specialist,WEB,Málaga,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5842840794?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-17,Barcelona Supercomputing Center-Centro Nacional de Supercomputación ,plaça de Web developer (RE2) CIDO,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5844984918?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-04-08,Quoviz Consulting,Frontend Web Developer - WordPress Specialist (Contract),WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5693811025?utm_medium=api&utm_source=4332c1fe
2026-09-02,2025-12-12,NETT Digital School,Beca Desarrollador Web - Full Stack Web Developer,WEB,Barcelona,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5539670389?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-06-28,NETT Digital School,Beca Desarrollador Web - Full Stack Web Developer,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5780180952?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-09-01,Airbus,CORE DIGITAL CAMPUS - Web Developer - CRM Product Service Line (m/f),WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/land/ad/5864619354?se=QEIFW6am8RGiHujJjqzZMA&utm_medium=api&utm_source=4332c1fe&v=662431E6C71C04C8B25DA3D14A6479CC08AD3757
2026-09-02,2026-08-01,Barcelona Supercomputing Center-Centro Nacional de Supercomputación ,plaça de Python and Web developer for operational services (RE1) CIDO,WEB,España,no especificado,,,,python,no especificado,https://www.adzuna.es/details/5823503112?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-07-29,Airbus,CORE DIGITAL CAMPUS - Web Developer - CRM Product Service Line (m/f),WEB,Albacete,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5819501181?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-07-25,Malwarebytes,Senior Frontend Web Application Developer,WEB,"Bilbao, Vizcaya",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5815044827?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-03,TKH Security,Technical Lead – Web Applications Developer,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5826409781?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-06-12,Full Stack Web Developer,Full Stack Web Developer (Backend Focus) – Multi-cloud GenAI Platform / Secure GPT,WEB,Barcelona,no especificado,,,,"azure, aws",no especificado,https://www.adzuna.es/details/5760554340?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-22,Crit Interim España ETT,Full Stack Developer (web),WEB,Lleida,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5852352820?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-29,Timestamp,Desarrollador/a en analítica de datos,WEB,"Castelldefels, Barcelona",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5860868618?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-09,Moody's Corporation,Senior Cloud-Native AI Engineer,WEB,"Barcelona, Cataluña",no especificado,65000.0,90000.0,,"python, typescript",nativo,https://www.adzuna.es/details/5834451303?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-09-01,Airbus,"Web development - Spares, MRO & Training Product Service Line (m/f)",WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/land/ad/5864619353?se=RKNiXKam8RG5LMEkIm3s4g&utm_medium=api&utm_source=4332c1fe&v=A24AA687D803A50E900A67D9C4E1802E83903C5B
2026-09-02,2026-08-23,Homs Rentals,Desarrollador web para Woocommerce,WEB,"Cabrera de Mar, Barcelona",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5853837518?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-07-18,Publicis Groupe Holdings B.V,Full-stack Developer,WEB,"Paracuellos de Jarama, Madrid",no especificado,,,,javascript,no especificado,https://www.adzuna.es/details/5805885148?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-07-16,Airbus,"DIGITALCAMPUS Web development - Spares, MRO & Training Product Service Line (m/f)",WEB,Albacete,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5801930573?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-07-18,"Airbus Helicopters España, SA","Web development – Spares, MRO & Training Product Service Line (m/f)",WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5805885145?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-07-23,Madbox,AI Product Engineer,WEB,"Barcelona, Cataluña",no especificado,60000.0,80000.0,,no especificado,no especificado,https://www.adzuna.es/details/5812023170?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-07-09,Business Insights,Full/stack developer,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5793849453?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-05-29,Campmany AbogadosP,Full Stack Developer,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5743996318?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-06-08,Alenta Equipo,FULL STACK DEVELOPER,WEB,España,presencial,,,,no especificado,no especificado,https://www.adzuna.es/details/5756057883?utm_medium=api&utm_source=4332c1fe
2026-09-02,2026-08-08,RODI MOTOR SERVICES,FULL STACK DEVELOPER,WEB,Lleida,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5833144400?utm_medium=api&utm_source=4332c1fe
2026-09-02,2025-08-23,Yuvod,Full Stack Developer,WEB,Valencia,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5365283424?utm_medium=api&utm_source=4332c1fe
