fecha_scrape,fecha_publicacion,empresa,titulo_puesto,categoria,ubicacion,modalidad,salario_min,salario_max,experiencia_requerida,stack_tecnologico,nivel_ingles,url_oferta
2026-07-01,2026-04-09,Growmodo GmbH,Senior Motion Graphics Designer / AI Specialist (Full-Time / On-Call),WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5694157586?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-04-13,WebBeds,Front-end Developer,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5697925208?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-05-16,IQVIA,Software Development Engineer - Cronos,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5730832033?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-19,TechBiz Global GmbH,"UI/UX Designer(Remote, Contractor)",WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5769067179?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-05-15,IQVIA,Software Development Engineer - Cronos,WEB,Madrid,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5730063525?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-18,Talentgrator,Senior NodeJS Developer,WEB,España,no especificado,,,,typescript,no especificado,https://www.adzuna.es/details/5768047499?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-24,SGS,".NET Developer (VB.NET, WebForms, SQL Server, Azure)",WEB,Madrid,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5774159621?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-03-30,Resourceful Talent Group,Full Stack Engineer (Fintech),WEB,España,no especificado,,,,"react, react",no especificado,https://www.adzuna.es/details/5682614460?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-03-27,"Amazon Data Services Spain, S.L.","Senior Finance Analyst, Data Centre Finance - EMEA",WEB,Zaragoza,no especificado,,,,aws,no especificado,https://www.adzuna.es/details/5680043141?utm_medium=api&utm_source=4332c1fe
2026-07-01,2025-08-21,STANDBY.es,Java Fullstack Developer,WEB,Málaga,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5361895084?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-01,Sézane,Sales Assistant - Full Time (40H) - Madrid (M/F),WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5747730622?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-30,Health,Backend Developer (Digital Health),WEB,Barcelona,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5782444239?utm_medium=api&utm_source=4332c1fe
2026-07-01,2025-07-01,Hostaway,Staff Mobile Engineer React Native - 100% Remote - Europe,WEB,Barcelona,remoto,,,,no especificado,no especificado,https://www.adzuna.es/details/5278395720?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-06-25,Statkraft,Full Stack Developer,WEB,Madrid,no especificado,,,,no especificado,requerido,https://www.adzuna.es/details/5775509121?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-05-11,Calconut,FULL-STACK DEVELOPER,WEB,"Mutxamel, Alicante",no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5725596087?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-05-29,Campmany AbogadosP,Full Stack Developer,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5743996318?utm_medium=api&utm_source=4332c1fe
2026-07-01,2026-03-30,ERREKA,FULL STACK DEVELOPER,WEB,España,no especificado,,,,no especificado,no especificado,https://www.adzuna.es/details/5682614466?utm_medium=api&utm_source=4332c1fe
